target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
0, 2012 AUG 06 06:29:25, -9.2736903214468507e-04,  6.2598616343736166e-04, -1.0831780410892232e-04
1, 2012 AUG 07 07:10:56, -9.2743821344634626e-04,  6.2586879052654713e-04, -1.0850158741873350e-04
2, 2012 AUG 08 07:52:27, -9.2792142138834670e-04,  6.2577258263699195e-04, -1.0472003790879317e-04
3, 2012 AUG 09 08:33:59, -9.2792271929834503e-04,  6.2580286526141488e-04, -1.0472968110801804e-04
4, 2012 AUG 10 09:15:30, -9.2791927614173180e-04,  6.2577317803660015e-04, -1.0470786519434141e-04
5, 2012 AUG 11 09:57:01, -9.2790885976086306e-04,  6.2581188068334948e-04, -1.0472180127159649e-04
6, 2012 AUG 12 10:38:32, -9.2792444188191171e-04,  6.2580587868154972e-04, -1.0472968723470607e-04
7, 2012 AUG 13 11:20:03, -9.2792652069376472e-04,  6.2577927851362387e-04, -1.0472369101353072e-04
8, 2012 AUG 14 12:01:35, -9.2791399198972066e-04,  6.2578630383078424e-04, -1.0471615511144851e-04
9, 2012 AUG 15 12:43:06, -9.2792164740049200e-04,  6.2579497370147540e-04, -1.0470826332771241e-04
10, 2012 AUG 16 13:24:37, -9.2792242442672496e-04,  6.2578019375537333e-04, -1.0472901579748064e-04
11, 2012 AUG 17 14:06:08, -9.2792249538817977e-04,  6.2577057436530238e-04, -1.0470570226420503e-04
12, 2012 AUG 18 14:47:39, -9.2792770927968440e-04,  6.2578733912638522e-04, -1.0473002379258897e-04
13, 2012 AUG 19 15:29:10, -9.2791947616825254e-04,  6.2579114599025764e-04, -1.0471551397298658e-04
14, 2012 AUG 20 16:10:42, -9.2784076819704122e-04,  6.2560924328264322e-04, -1.0658811152810079e-04
15, 2012 AUG 21 16:52:13, -9.2730152347455098e-04,  6.2584614301341513e-04, -1.0977233694752349e-04
16, 2012 AUG 22 17:33:44, -4.6392191752099949e-03, -3.9828511480799259e-03, -6.4149939345609325e-05
17, 2012 AUG 23 18:15:15, -4.6392233016973265e-03, -3.9828695392016287e-03, -6.4150647577786981e-05
18, 2012 AUG 24 18:56:46, -4.6392067813286527e-03, -3.9828418889096646e-03, -6.4152126558441724e-05
19, 2012 AUG 25 19:38:18, -4.6392071589592783e-03, -3.9828377356965422e-03, -6.4150094025367259e-05
20, 2012 AUG 26 20:19:49, -4.6391976686231060e-03, -3.9828494783117341e-03, -6.4144781667904043e-05
21, 2012 AUG 27 21:01:20, -2.5935254722769569e-03, -1.2312118814646481e-03,  3.4061660492401679e-03
22, 2012 AUG 28 21:42:51, -1.0238200961559762e-02, -1.0735578773517777e-02,  3.1496607748970726e-03
23, 2012 AUG 29 22:24:22, -1.0238176030628687e-02, -1.0735574596491663e-02,  3.1496975727974708e-03
24, 2012 AUG 30 23:05:54, -2.1506059798177969e-02, -2.3705626951041749e-02, -4.7769294310581484e-04
25, 2012 AUG 31 23:47:25, -2.1506042007397350e-02, -2.3705598751797848e-02, -4.7770836284275961e-04
26, 2012 SEP 02 00:28:56, -3.2018851493788421e-02, -3.7987110937271279e-02, -1.8977979686146403e-02
27, 2012 SEP 03 01:10:27, -3.2018843406430200e-02, -3.7987111071195213e-02, -1.8977951994942621e-02
28, 2012 SEP 04 01:51:58, -3.2018817919952751e-02, -3.7987081672731488e-02, -1.8977961242710416e-02
29, 2012 SEP 05 02:33:30, -4.2376941972731751e-02, -5.2311988936670481e-02, -4.3718912121079409e-02
30, 2012 SEP 06 03:15:01, -4.2375938607757985e-02, -5.2311436227030064e-02, -4.3721652866934649e-02
31, 2012 SEP 07 03:56:32, -4.2375943205995498e-02, -5.2311432708256750e-02, -4.3721646357812956e-02
32, 2012 SEP 08 04:38:03, -4.2375922913444525e-02, -5.2311408756663375e-02, -4.3721616528124549e-02
33, 2012 SEP 09 05:19:34, -4.2375904063904145e-02, -5.2311395401802789e-02, -4.3721612674833141e-02
34, 2012 SEP 10 06:01:06, -4.2375891500730255e-02, -5.2311373611746995e-02, -4.3721580980625403e-02
35, 2012 SEP 11 06:42:37, -4.2375863407161068e-02, -5.2311353169557338e-02, -4.3721569559153725e-02
36, 2012 SEP 12 07:24:08, -4.2375867763308581e-02, -5.2311361170807230e-02, -4.3721549307846108e-02
37, 2012 SEP 13 08:05:39, -4.2375472101307321e-02, -5.2310467314611080e-02, -4.3719256573272879e-02
38, 2012 SEP 14 08:47:10, -6.2367632384152043e-02, -7.6905245226211089e-02, -4.9280704349889473e-02
39, 2012 SEP 15 09:28:41, -7.5995779518904780e-02, -9.2054214037555496e-02, -5.5305511762784171e-02
40, 2012 SEP 16 10:10:13, -9.9344391814918234e-02, -1.1489432991895590e-01, -3.7638761000231627e-02
41, 2012 SEP 17 10:51:44, -1.1603740010913056e-01, -1.3248696289097658e-01, -2.6023753782562727e-02
42, 2012 SEP 18 11:33:15, -1.3258303265274118e-01, -1.5526238433482362e-01, -3.8173475035958360e-02
43, 2012 SEP 19 12:14:46, -1.4043017372100960e-01, -1.6786470899460676e-01, -6.4130548262467224e-02
44, 2012 SEP 20 12:56:17, -1.4043316145577084e-01, -1.6786914299211725e-01, -6.4131410677332537e-02
45, 2012 SEP 21 13:37:49, -1.4182416985554408e-01, -1.6940605483165494e-01, -6.1724810631719439e-02
46, 2012 SEP 22 14:19:20, -1.4182560605203806e-01, -1.6940895460634076e-01, -6.1730136038677427e-02
